subject,predicate,object
29657,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28534
4963969,wikidata/Education::,4184023
5194559,wikidata/Education::,29241
3435915,wikidata/Education::,3119713
4207630,wikidata/Education::,29136
3278187,wikidata/Education::,38404
6530203,wikidata/Education::,226145
154622,littlesis/Donation/Grant::2000 usd (Campaign Contribution),28480
4388743,wikidata/Education::,29143
7308054,wikidata/(sociology),29156
4375826,wikidata/Education::,29136
38223,wikidata/Education::,255354
823291,wikidata/Education::,261954
840184,wikidata/Doctor of Philosophy (organic chemistry),38425
2392234,wikidata/Education::,29110
4245192,wikidata/(naval aviation),29136
106987,littlesis/Donation/Grant::250 usd (Campaign Contribution),368838
28767,littlesis/Donation/Grant::2000 usd (Campaign Contribution),37983
7376521,wikidata/Education::,38404
4349035,wikidata/Education::,261954
5325179,wikidata/Education::,4184023
5827364,wikidata/Education::,29241
4263156,wikidata/Education::,29143
1044316,wikidata/Education::,29223
6376947,wikidata/Education::,38397
5455403,wikidata/Education::,416561
5255653,wikidata/Education::,255875
256175,littlesis/Donation/Grant::2300 usd (Campaign Contribution),28344
4309110,wikidata/Education::,29136
6228128,wikidata/Education::,29156
5576742,wikidata/Education::,10158
180466,littlesis/Donation/Grant::500 usd (Campaign Contribution),28533
915623,wikidata/Education::,415846
38144,littlesis/Donation/Grant::950 usd (Campaign Contribution),28480
791365,wikidata/Education::,10158
7374071,wikidata/chief executive officer,260526
7355497,wikidata/Education::,38397
362696,littlesis/Donation/Grant::8600 usd (Campaign Contribution),28480
28449,wikidata/Juris Doctor,29156
4365584,wikidata/Education::,38450
942542,wikidata/Education::,29110
720659,wikidata/Education::,29148
965686,wikidata/Education::,29148
2272951,wikidata/Doctor of Philosophy,2157382
207624,littlesis/Deputy Chairman,85075
5384517,wikidata/Master of Theology,29156
4370716,wikidata/Education::,38475
7605334,wikidata/Education::,29175
6363499,wikidata/Education::,226145
7469211,wikidata/Education::,415846
4295886,wikidata/Education::,29241
7433091,wikidata/Education::,29148
2339873,wikidata/Education::,29143
6545290,wikidata/Education::,29155
6316021,wikidata/Doctor of Philosophy,415846
150102,littlesis/Donation/Grant::1000 usd (Campaign Contribution),419931
4230162,wikidata/Education::,29155
5337063,wikidata/Education::,5213208
2285259,wikidata/Education::,29155
7193071,wikidata/Education::,38450
5656148,wikidata/Education::,6226320
6397779,wikidata/Education::,29110
6385478,wikidata/Education::,261954
6323602,wikidata/Education::,29148
1163141,wikidata/Education::,226145
4179454,wikidata/Education::,3119713
4444717,wikidata/doctorate,10158
7603354,wikidata/Education::,415846
1281751,wikidata/Education::,29156
13224,littlesis/MBA,29110
4291513,wikidata/Education::,415846
256070,littlesis/Donation/Grant::2100 usd (Campaign Contribution),28569
95192,wikidata/Education::,38425
5486187,wikidata/Education::,226145
7604258,wikidata/Education::,29143
833,wikidata/Ownership::,5243637
327436,wikidata/Bachelor of Business Administration,21865
7613146,wikidata/Education::,29175
38501,littlesis/Donation/Grant::3500 usd (Campaign Contribution),49279
825406,wikidata/Education::,1019739
620,littlesis/Donation/Grant::5000 usd (Campaign Contribution),28480
3597,wikidata/Ownership::,6275848
3597,wikidata/Ownership::,6275849
2323339,wikidata/Education::,38425
4272167,wikidata/Education::,29143
6195044,wikidata/chairman of the executive board,3675185
4182935,wikidata/chief executive officer,184749
7324497,wikidata/Education::,38425
952629,wikidata/Education::,226145
3394160,wikidata/Education::,29110
5524355,wikidata/Education::,29148
6407715,wikidata/Education::,38425
2220797,wikidata/doctorate in France,38425
945673,wikidata/Education::,226145
33609,wikidata/Education::,29110
6198788,wikidata/special adviser,6199147
3173930,wikidata/Hierarchy::has subsidiary,155305
778,littlesis/Director,3570
226257,wikidata/Education::,7323151
2309730,wikidata/Education::,29241
7231688,wikidata/Ownership:: (100% stake),3161762
3238761,wikidata/Education::,29110
37966,littlesis/Donation/Grant::200 usd (Campaign Contribution),28344
2314579,wikidata/Education::,29110
6757869,wikidata/Education::,29241
5309120,wikidata/Education::,416561
4323062,wikidata/Bachelor of Laws (law),3686716
2194848,wikidata/Education::,255354
2343701,wikidata/Education::,38425
3155620,wikidata/licentiate (law),226145
965511,wikidata/Education::,29110
3121175,wikidata/Education::,29223
3125820,wikidata/Education::,29110
4196416,wikidata/Education::,5213208
6222354,wikidata/Education::,21865
4285487,wikidata/Education::,29110
413003,littlesis/Donation/Grant::146986 usd (Campaign Contribution),413003
1009567,wikidata/Doctor of Philosophy (government),29110
144,wikidata/Hierarchy::has subsidiary,5192682
4316449,wikidata/Education::,29223
259776,littlesis/Donation/Grant::5400 usd (Campaign Contribution),28344
4186456,wikidata/Education::,29223
840930,wikidata/Education::,29241
6924795,wikidata/Education::,29148
7626532,wikidata/Education::,29110
369391,littlesis/Donation/Grant::2500 usd (Campaign Contribution),37983
140108,wikidata/Hierarchy::has subsidiary,420310
828,littlesis/Service/Transaction::310000 usd (Lobbying Client),29404
7453976,wikidata/Education::,29110
7467486,wikidata/Education::,4211424
10158,wikidata/Hierarchy::has subsidiary,410663
428915,wikidata/Bachelor of Arts,29110
844879,wikidata/Education::,38475
7201299,wikidata/Education::,29110
1138533,wikidata/Education::,38425
28780,littlesis/MBA,29155
885580,wikidata/trustee,4211424
833919,wikidata/Education::,3119713
1077798,wikidata/Education::,261954
23,littlesis/Donation/Grant::2000 usd (Campaign Contribution),21796
3287641,wikidata/Education::,29223
2142403,wikidata/Education::,416568
4197913,wikidata/Education::,29110
5374449,wikidata/Education::,38397
4041,littlesis/Donation/Grant::1668 usd (Campaign Contribution),37903
6314011,wikidata/Education::,226145
2237441,wikidata/Education::,38535
29181,littlesis/Donation/Grant::5600 usd (Campaign Contribution),212888
11006,wikidata/Education::,29148
7613102,wikidata/Education::,7216587
4184090,wikidata/Education::,29175
3145692,wikidata/Doctor of Philosophy,29136
2353195,wikidata/Education::,5213208
2325066,wikidata/Education::,2157382
260447,littlesis/Donation/Grant::4300 usd (Campaign Contribution),28480
2238052,wikidata/Education::,29155
585505,wikidata/Education::,29223
3285573,wikidata/Education::,2157382
83374,littlesis/Donation/Grant::2860 usd (Campaign Contribution),28480
4189727,wikidata/Education::,5213208
3199290,wikidata/Education::,415846
5854730,wikidata/Education::,29143
38324,wikidata/Education::,29148
7369066,wikidata/Education::,38425
29175,wikidata/Ownership::,7190571
6192542,wikidata/Education::,7197297
896744,wikidata/Education::,29110
4295060,wikidata/Education::,29156
7378700,wikidata/Education::,29143
1116272,wikidata/Doctor of Philosophy (marine biology),38404
537049,wikidata/Education::,29241
2315327,wikidata/Education::,29110
134985,littlesis/Undergraduate in Literature and art history,29155
255764,littlesis/Donation/Grant::3000 usd (Campaign Contribution),28319
259761,littlesis/Donation/Grant::1000 usd (Campaign Contribution),38039
29181,littlesis/Donation/Grant::5600 usd (Campaign Contribution),28270
1253364,wikidata/Education::,5213208
264321,littlesis/Donation/Grant::750 usd (Campaign Contribution),28480
36178,littlesis/Donation/Grant::538 usd (Campaign Contribution),36178
1158329,wikidata/Education::,837387
4370559,wikidata/Education::,38450
2157703,wikidata/Ownership::,3568
5203171,wikidata/Education::,29136
7317046,wikidata/Education::,29223
2286023,wikidata/Education::,29148
3154836,wikidata/Education::,2157382
7326591,wikidata/Education::,29110
73044,wikidata/Education::,261954
4191760,wikidata/Education::,38404
7377303,wikidata/Education::,29148
5222040,wikidata/Education::,29110
29181,littlesis/Donation/Grant::13300 usd (Campaign Contribution),28526
29181,littlesis/Donation/Grant::10700 usd (Campaign Contribution),32455
226146,wikidata/Education::,29241
152561,littlesis/Donation/Grant::500 usd (Campaign Contribution),28480
2170563,wikidata/Education::,7199570
6247276,wikidata/Education::,2147541
2314741,wikidata/Education::,29167
28415,wikidata/Juris Doctor,38475
6382065,wikidata/Education::,29167
400913,wikidata/Ownership:: (4% stake),41130
3244072,wikidata/Education::,415846
7323566,wikidata/Education::,21865
38227,littlesis/Donation/Grant::250 usd (Campaign Contribution),28371
421770,littlesis/Donation/Grant::3000 usd (Campaign Contribution),21796
963473,wikidata/Education::,29155
2147398,wikidata/Education::,29110
6484527,wikidata/Education::,38450
2173051,wikidata/Education::,3119713
368164,littlesis/Donation/Grant::2100 usd (Campaign Contribution),28319
6340304,wikidata/Education::,38425
13802,littlesis/Donation/Grant::8000 usd (Campaign Contribution),83296
1143002,wikidata/Education::,7199570
44359,wikidata/Hierarchy::has subsidiary,813674
20662,wikidata/Education::,29148
969821,wikidata/Education::,29110
38278,littlesis/Donation/Grant::4000 usd (Campaign Contribution),37989
2706,littlesis/Donation/Grant::250 usd (Campaign Contribution),413006
7623081,wikidata/Education::,29148
990894,wikidata/Bachelor of Science (engineering physics),29136
4189826,wikidata/Education::,3119713
6196038,wikidata/Education::,29136
6232314,wikidata/Education::,29110
997102,wikidata/Education::,29241
6757905,wikidata/Education::,29136
841478,wikidata/Education::,29148
2150745,wikidata/Education::,29155
4312373,wikidata/Education::,5184890
3386655,wikidata/Education::,29175
5472009,wikidata/Doctor of Philosophy,38425
5366181,wikidata/Education::,6175003
572,wikidata/Hierarchy::has subsidiary,7605642
3301691,wikidata/Education::,2157382
3429426,wikidata/Education::,29148
3238228,wikidata/Education::,29155
5206599,wikidata/Education::,29110
3121022,wikidata/Ownership:: (6% stake),329
7193294,wikidata/master's degree (public administration),226145
5332615,wikidata/Education::,29148
3673882,wikidata/Education::,3119713
2649611,wikidata/Education::,29110
4238318,wikidata/Education::,4211424
2964,wikidata/Doctor of Philosophy,29156
7199276,wikidata/Education::,38397
2215717,wikidata/Education::,29156
3618965,wikidata/Doctor of Philosophy,29222
6205820,wikidata/Education::,38425
7607438,wikidata/Education::,29148
370735,wikidata/Education::,29155
4249898,wikidata/Education::,3121131
5512434,wikidata/Education::,29148
2321113,wikidata/Education::,29156
3112802,wikidata/Education::,29156
5670448,wikidata/Education::,2147541
49279,littlesis/Donation/Grant::2000 usd (Campaign Contribution),11232
4190283,wikidata/Education::,29223
2430077,wikidata/Education::,29143
2152839,wikidata/Education::,29155
2835,wikidata/Education::,3119713
4234403,wikidata/doctorate in Economics,415846
4189540,wikidata/Education::,21865
7215160,wikidata/Education::,29136
7471405,wikidata/Education::,38475
5373401,wikidata/Education::,5213208
2984632,wikidata/Doctor of Laws (legal science),416568
6212256,wikidata/Education::,29143
5341936,wikidata/Education::,29155
4270956,wikidata/Education::,29110
6263723,wikidata/Education::,29155
5325653,wikidata/Education::,5360160
1571460,wikidata/Bachelor of Science,29148
5348832,wikidata/Education::,29148
3149934,wikidata/Education::,29175
2222029,wikidata/Education::,29110
4041,littlesis/Donation/Grant::2800 usd (Campaign Contribution),212870
3287557,wikidata/Education::,29156
3247000,wikidata/Education::,21865
7552705,wikidata/Education::,29136
6201533,wikidata/Education::,29175
2583042,wikidata/Education::,29156
6192765,wikidata/Education::,3119713
1013507,wikidata/Education::,29155
6366724,wikidata/Education::,29110
7355069,wikidata/Education::,29155
7393240,wikidata/Education::,29110
6320233,wikidata/Education::,226145
426526,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28534
5889576,wikidata/Education::,10158
6201358,wikidata/Education::,29110
1021629,wikidata/Doctor of Philosophy,29110
49228,littlesis/Donation/Grant::500 usd (Campaign Contribution),28319
255445,littlesis/Honorary Director,255368
7237940,wikidata/Education::,3121131
3278187,wikidata/Education::,226145
5615085,wikidata/Education::,29110
7609004,wikidata/Education::,29110
402862,wikidata/Education::,29155
4224364,wikidata/Education::,38397
5320429,wikidata/Education::,29148
257345,littlesis/Donation/Grant::21000 usd (Campaign Contribution),28344
388963,littlesis/Position::Senior Medical Advisor,256191
7381018,wikidata/Education::,29136
5199024,wikidata/Education::,4211424
4460674,wikidata/Education::,29143
22399,wikidata/Education::,29110
4184067,wikidata/Bachelor of Arts,29359
28702,littlesis/Donation/Grant::2300 usd (Campaign Contribution),28344
3263359,wikidata/Education::,29155
3265367,wikidata/Education::,416561
28521,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28207
4189861,wikidata/Education::,7199570
5202265,wikidata/Education::,29241
37923,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28472
6349266,wikidata/Education::,29223
2269709,wikidata/Education::,38475
150722,littlesis/Donation/Grant::2000 usd (Campaign Contribution),412986
2264771,wikidata/Education::,7199570
3201696,wikidata/Education::,5213208
3199061,wikidata/Education::,255354
2148916,wikidata/Education::,29241
2262316,wikidata/Education::,415776
3315837,wikidata/Education::,255354
6217072,wikidata/Education::,29110
21952,wikidata/Ownership::,4249191
5656094,wikidata/Education::,38412
4270765,wikidata/Master of Public Health (medicine),29223
31016,wikidata/Education::,38397
6230765,wikidata/Education::,415846
827898,wikidata/Education::,261954
3236706,wikidata/Education::,29110
1306934,wikidata/Education::,29175
38501,littlesis/Donation/Grant::500 usd (Campaign Contribution),418414
37989,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28180
4361797,wikidata/Education::,29143
28457,wikidata/Education::,29167
7365915,wikidata/Education::,29136
4185986,wikidata/Education::,38450
3235234,wikidata/Education::,29148
6366315,wikidata/Education::,29143
5211397,wikidata/Education::,29148
2161922,wikidata/Education::,261954
4414,littlesis/Director,328
6289238,wikidata/Education::,415846
7198268,wikidata/Education::,29136
550,wikidata/Ownership::,4254608
1528230,wikidata/Education::,5213208
4111,littlesis/Donation/Grant::3000 usd (Campaign Contribution),21796
38011,littlesis/Donation/Grant::2000 usd (Campaign Contribution),28413
6499476,wikidata/Education::,21865
7376721,wikidata/Education::,415846
900115,wikidata/Education::,29222
4190591,wikidata/Education::,29148
4357326,wikidata/Education::,38397
1249370,wikidata/Education::,29159
2163127,wikidata/Education::,29156
5309635,wikidata/Education::,38450
3129775,wikidata/Education::,29223
5566431,wikidata/Education::,29223
4191450,wikidata/Education::,5213208
1002305,wikidata/Education::,29155
822664,wikidata/Education::,21865
156446,littlesis/Donation/Grant::2700 usd (Campaign Contribution),28344
7369747,wikidata/Education::,5213208
4846050,wikidata/Education::,29155
6532643,wikidata/Education::,5213208
7195208,wikidata/Education::,4211424
432244,wikidata/Hierarchy::has subsidiary,4312622
961743,wikidata/Education::,29143
38131,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28472
2178560,wikidata/president,813534
4374209,wikidata/Education::,29110
38420,littlesis/Donation/Grant::2700 usd (Campaign Contribution),413017
9545,wikidata/Education::,29143
86908,littlesis/Donation/Grant::6900 usd (Campaign Contribution),28344
5256326,wikidata/Education::,29159
7205277,wikidata/Education::,29148
6103055,wikidata/Education::,29110
6576291,wikidata/Education::,29110
4721,littlesis/Donation/Grant::5400 usd (Campaign Contribution),28574
845029,wikidata/Education::,38397
3575,littlesis/Donation/Grant::1034615 usd (Campaign Contribution),28480
6322854,wikidata/Education::,4184023
5861305,wikidata/Education::,2157382
2267279,wikidata/Education::,5184890
14738,littlesis/Donation/Grant::2800 usd (Campaign Contribution),368838
4263535,wikidata/Education::,29155
7350467,wikidata/Education::,2157382
4368003,wikidata/Education::,29155
3313732,wikidata/Education::,29155
136219,wikidata/Hierarchy::has subsidiary,4945851
6513102,wikidata/Education::,2157382
4576387,wikidata/(education),29136
28904,wikidata/Juris Doctor,29110
964777,wikidata/Education::,29175
3263632,wikidata/Education::,38425
418033,littlesis/Donation/Grant::250 usd (Campaign Contribution),49279
3407921,wikidata/Education::,3119713
3415121,wikidata/Education::,5211886
7195829,wikidata/Education::,38450
3127086,wikidata/Education::,29110
4556025,wikidata/Education::,29110
245622,wikidata/Hierarchy::has subsidiary,4210558
37925,wikidata/law clerk,5568985
37984,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28319
29181,littlesis/Donation/Grant::5600 usd (Campaign Contribution),263070
2183664,wikidata/Bachelor of Science (educational management),256097
2307426,wikidata/Education::,29359
3151723,wikidata/Education::,226145
537092,wikidata/Doctor of Philosophy,29110
7310983,wikidata/Education::,3121131
6348904,wikidata/bachelor's degree (physics),29143
3329469,wikidata/(fine art),415846
1093545,wikidata/chief executive officer,256286
3148825,wikidata/Education::,38535
883926,wikidata/Education::,29143
4223107,wikidata/Education::,2157382
28641,littlesis/Donation/Grant::3000 usd (Campaign Contribution),28235
7222358,wikidata/Education::,29110
3133828,wikidata/Doctor of Philosophy,29148
585986,wikidata/Education::,29155
990136,wikidata/Education::,4211424
1104557,wikidata/Education::,5213208
7192990,wikidata/Education::,29110
816536,wikidata/Education::,29175
3114783,wikidata/Education::,3119713
5469534,wikidata/Education::,29175
2214198,wikidata/Education::,29156
5185409,wikidata/Education::,29143
3219142,wikidata/Education::,415846
7386997,wikidata/Education::,38450
3326997,wikidata/Education::,29110
5464788,wikidata/Education::,2157382
7379092,wikidata/Education::,29148
831082,wikidata/Education::,38475
5602325,wikidata/Education::,29175
3788,littlesis/Ownership::Institutional investor (10711371 shares),3792
3444823,wikidata/Education::,29143
28372,littlesis/MS,255354
4178113,wikidata/Education::,3119713
6409248,wikidata/Education::,29143
28574,littlesis/MBA,29148
829154,wikidata/Doctor of Philosophy,29241
2251066,wikidata/Education::,29223
2320844,wikidata/Education::,255354
4126,littlesis/Trustee,38404
4181891,wikidata/Education::,38450
2207468,wikidata/Education::,255354
1001376,wikidata/Education::,29110
7382187,wikidata/Education::,10158
813500,wikidata/Education::,35960
2156143,wikidata/Education::,29110
2646439,wikidata/Bachelor of Arts,29136
992468,wikidata/Education::,29110
4180487,wikidata/Doctor of Philosophy,29110
7528,littlesis/Donation/Grant::5050 usd (Campaign Contribution),28480
3312916,wikidata/Education::,38425
261696,wikidata/Hierarchy::has subsidiary,7411492
170123,littlesis/LLB,29241
4429,littlesis/Donation/Grant::3000 usd (Campaign Contribution),37983
49279,littlesis/Donation/Grant::1000 usd (Campaign Contribution),5551
4477935,wikidata/Education::,2157382
2175671,wikidata/Education::,416568
4329378,wikidata/Education::,10158
7595409,wikidata/Bachelor of Music,29156
991573,wikidata/Education::,3119713
255420,littlesis/BA in Political Science,29241
4244886,wikidata/Education::,29143
2016,littlesis/Donation/Grant::1500 usd (Campaign Contribution),259275
5279350,wikidata/Education::,29148
1110384,wikidata/Education::,38397
2323677,wikidata/Education::,29148
28535,littlesis/Director,255368
2342951,wikidata/Education::,29155
28330,littlesis/Donation/Grant::1500 usd (Campaign Contribution),37925
4188290,wikidata/Education::,38397
952018,wikidata/Education::,29110
963527,wikidata/Education::,38397
367560,littlesis/Donation/Grant::5600 usd (Campaign Contribution),268709
2183251,wikidata/Education::,29156
5356085,wikidata/Doctor of Philosophy,226145
7280921,wikidata/Education::,29155
3114812,wikidata/Education::,29175
7358492,wikidata/Education::,4184023
2325988,wikidata/Bachelor of Fine Arts,38450
28573,littlesis/Donation/Grant::4000 usd (Campaign Contribution),150099
7189435,wikidata/Education::,60611
7236173,wikidata/Education::,29155
28794,littlesis/Donation/Grant::1500 usd (Campaign Contribution),28534
6332337,wikidata/Education::,29143
3222164,wikidata/Education::,29136
1707419,wikidata/Master of Business Administration,29359
837,littlesis/Service/Transaction:: (client),212093
6849865,wikidata/Education::,38475
138397,littlesis/Donation/Grant::1250 usd (Campaign Contribution),28480
2166432,wikidata/Education::,29148
2151241,wikidata/Education::,29110
7374909,wikidata/Education::,29110
4352673,wikidata/Education::,5213208
138995,littlesis/Donation/Grant::1500 usd (Campaign Contribution),260590
28201,littlesis/Doctorate,256097
4065,littlesis/Director,850
2284670,wikidata/Education::,29143
6839127,wikidata/Education::,226145
3124706,wikidata/Education::,29156
2170585,wikidata/Education::,38535
3244877,wikidata/Education::,29110
6254228,wikidata/Education::,3119713
24485,littlesis/Service/Transaction:: (Client),3586
7310981,wikidata/Education::,29159
37929,littlesis/Donation/Grant::500 usd (Campaign Contribution),28344
6198095,wikidata/Education::,29143
4238329,wikidata/Education::,226145
53000,littlesis/High School Diploma,226145
7485798,wikidata/Education::,29143
6506075,wikidata/Education::,29159
2180524,wikidata/honorary doctorate,2184217
1879989,wikidata/electrical engineer,29148
828846,wikidata/Education::,29241
28517,littlesis/JD,38535
5215410,wikidata/Education::,21865
2146750,wikidata/Education::,29156
893,littlesis/Membership::business environmental leadership council member,82906
3788,littlesis/Ownership::Owner (10% stake) (11270349 shares),584
7374647,wikidata/Education::,6175003
2159698,wikidata/Education::,29155
2387065,wikidata/Education::,3119713
2142696,wikidata/Education::,3119713
33804,wikidata/Education::,38397
6363221,wikidata/Education::,21865
5321095,wikidata/Education::,38397
954626,wikidata/Education::,29156
412524,littlesis/Donation/Grant::3000 usd (Campaign Contribution),38214
4244799,wikidata/Education::,29156
79572,littlesis/Donation/Grant::2000 usd (Campaign Contribution),28371
28913,littlesis/MBA,29156
4081,littlesis/Donation/Grant::3200 usd (Campaign Contribution),21796
5209346,wikidata/Education::,29155
6192014,wikidata/Education::,3119713
1906897,wikidata/Education::,10158
4330024,wikidata/Education::,261954
4317581,wikidata/Education::,4211424
1131868,wikidata/Bachelor of Laws (jurisprudence),3686716
4319524,wikidata/Education::,29155
3114753,wikidata/Education::,3119713
49186,littlesis/Social::arm wrestler,72919
7279912,wikidata/Education::,7199570
2191713,wikidata/Education::,29143
7175569,wikidata/Education::,3119713
7210292,wikidata/Education::,29175
3262311,wikidata/Education::,255354
31496,wikidata/Education::,3119713
37778,wikidata/Hierarchy::has subsidiary,6261280
4178571,wikidata/Education::,29143
5978097,wikidata/Education::,21865
4348500,wikidata/Education::,29241
4310365,wikidata/Education::,29148
3139335,wikidata/Education::,29175
2148647,wikidata/Education::,29143
5211980,wikidata/Doctor of Philosophy,29110
132421,wikidata/Education::,29143
5203411,wikidata/Education::,29156
4300,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28540
953166,wikidata/Education::,29159
6365825,wikidata/Education::,255354
2159650,wikidata/Education::,29110
958078,wikidata/Education::,29110
53000,wikidata/Education::,29155
5241735,wikidata/Education::,416568
2326061,wikidata/Education::,38412
2306968,wikidata/Education::,5213208
5609897,wikidata/Education::,29241
3240266,wikidata/Education::,29175
2143429,wikidata/master's degree (electrical engineering),29136
4466503,wikidata/Education::,38404
964842,wikidata/Education::,4211424
4104,littlesis/Donation/Grant::2000 usd (Campaign Contribution),37983
325598,littlesis/Donation/Grant::1000 usd (Campaign Contribution),49279
5204282,wikidata/Education::,29136
4629012,wikidata/Education::,29148
7375237,wikidata/Education::,5213208
6339090,wikidata/Education::,38450
7379182,wikidata/Education::,29110
7276464,wikidata/Education::,21865
3120704,wikidata/Education::,29143
128353,littlesis/Donation/Grant::500 usd (Campaign Contribution),37983
5598369,wikidata/Education::,38450
4393852,wikidata/Education::,29143
7240870,wikidata/Education::,416568
5207086,wikidata/Doctor of Philosophy,38425
367944,littlesis/Donation/Grant::2000 usd (Campaign Contribution),28344
946961,wikidata/Education::,255440
4303108,wikidata/Education::,7199570
34160,wikidata/Ownership:: (5% stake),44620
6208223,wikidata/Education::,29110
4314731,wikidata/Education::,29143
6376382,wikidata/Education::,21865
7228788,wikidata/Education::,29110
2169921,wikidata/Education::,29156
5236113,wikidata/Education::,29110
5331766,wikidata/Education::,416561
1324060,wikidata/Education::,29110
3315072,wikidata/Education::,38475
1571482,wikidata/Education::,29110
831446,wikidata/Education::,29110
4378461,wikidata/Education::,38475
6201800,wikidata/Education::,29175
4880,littlesis/Trustee,29359
4318485,wikidata/Education::,29155
5239453,wikidata/Education::,7199570
2147220,wikidata/Education::,38425
380181,littlesis/Donation/Grant::2000 usd (Campaign Contribution),37983
170123,wikidata/Bachelor of Science,29148
2149702,wikidata/Education::,29148
5380516,wikidata/Education::,29110
5205132,wikidata/Education::,255354
6320153,wikidata/Education::,4836912
5184949,wikidata/Education::,29155
7466689,wikidata/Education::,226145
2423574,wikidata/Education::,255440
2298484,wikidata/Hierarchy::has subsidiary (30% stake),5213317
5714705,wikidata/Education::,29148
226146,littlesis/Donation/Grant::2500 usd (Campaign Contribution),260590
412992,littlesis/Donation/Grant::2500 usd (Campaign Contribution),37983
4192797,wikidata/Education::,29143
834,littlesis/Lobbying::Direct Lobbying,38344
3246982,wikidata/Education::,38450
7185435,wikidata/Education::,3119713
4364508,wikidata/Education::,5213208
13090,littlesis/Managing Director,3571
978062,wikidata/Education::,21865
3650948,wikidata/Hierarchy::has subsidiary,5335170
17757,wikidata/Education::,29110
3115506,wikidata/Education::,29143
6390686,wikidata/Education::,5211886
6217585,wikidata/Education::,29156
2463093,wikidata/Education::,29159
3676090,wikidata/Education::,29110
7395254,wikidata/Education::,29110
7187177,wikidata/Education::,29110
816987,wikidata/Education::,4184023
4203094,wikidata/Education::,29143
256070,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28702
158595,wikidata/Education::,29110
7626968,wikidata/Education::,29110
3137723,wikidata/Education::,29110
5191774,wikidata/Education::,29156
132772,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28480
902766,wikidata/Education::,29143
7471105,wikidata/Education::,38450
3788,wikidata/Ownership:: (5% stake),396893
5631948,wikidata/Education::,35960
3446921,wikidata/French university master,29143
3112634,wikidata/Education::,6197281
4300,littlesis/Donation/Grant::12900 usd (Campaign Contribution),150099
3247024,wikidata/Education::,38397
37988,wikidata/Education::,226145
258141,littlesis/Donation/Grant::2000 usd (Campaign Contribution),21796
6234253,wikidata/Education::,10158
5551,littlesis/Donation/Grant::2300 usd (Campaign Contribution),28344
1121776,wikidata/Education::,10158
7321678,wikidata/Education::,29110
9061,wikidata/Doctor of Philosophy (organic chemistry),29159
2283439,wikidata/Education::,7199570
3288279,wikidata/Education::,29110
2329724,wikidata/Education::,29110
6232636,wikidata/Education::,29155
3396691,wikidata/Doctor of Philosophy,5213208
28746,wikidata/Bachelor of Arts,4211424
3311126,wikidata/Education::,29110
108,wikidata/Ownership::,3119155
1367247,wikidata/Education::,10158
38131,littlesis/Donation/Grant::1000 usd (Campaign Contribution),38011
2150765,wikidata/Education::,29110
151399,littlesis/Donation/Grant::250 usd (Campaign Contribution),28574
29340,littlesis/Donation/Grant::5600 usd (Campaign Contribution),67882
6264344,wikidata/Education::,29143
5280257,wikidata/Education::,255354
29340,littlesis/Donation/Grant::7400 usd (Campaign Contribution),52717
92921,wikidata/Education::,29143
2157703,wikidata/Ownership:: (2% stake),2150992
2476511,wikidata/Education::,29136
28971,littlesis/MBA,38535
987046,wikidata/Education::,5218639
3252460,wikidata/Education::,29222
2165507,wikidata/Education::,29175
5477646,wikidata/Master of Laws,29110
4194318,wikidata/Education::,29110
2155477,wikidata/Education::,29143
5688650,wikidata/master's degree (engineering physics),29155
21598,wikidata/Ownership::,5204367
7198696,wikidata/Education::,5213208
6733862,wikidata/Education::,29156
7463042,wikidata/Education::,38425
949440,wikidata/Education::,29143
1002264,wikidata/Education::,29359
5228114,wikidata/Education::,29148
138973,littlesis/Donation/Grant::1000 usd (Campaign Contribution),28574
4729322,wikidata/Education::,29110
5534131,wikidata/Education::,29223
4318738,wikidata/Education::,226145
816510,wikidata/Education::,29148
29340,littlesis/Donation/Grant::5800 usd (Campaign Contribution),256086
3162927,wikidata/Education::,4184023
45058,wikidata/Education::,29148
1111708,wikidata/Education::,38412
28333,littlesis/Donation/Grant::3000 usd (Campaign Contribution),21796
1027330,wikidata/Education::,29155
7472038,wikidata/Education::,29110
5373309,wikidata/Education::,29159
972134,wikidata/Education::,2157382
7355592,wikidata/Education::,29110
3307604,wikidata/Education::,38425
259761,wikidata/Education::,1229108
1571400,wikidata/Master of Business Administration,29148
4371614,wikidata/Education::,29143
6235408,wikidata/Education::,29110
7214611,wikidata/Doctor of Philosophy,29136
815842,wikidata/Education::,416568
5369255,wikidata/Education::,10158
180,littlesis/Donation/Grant::3000 usd (Campaign Contribution),21796
6482318,wikidata/Education::,29143
99140,wikidata/Education::,29110
3113016,wikidata/Education::,2157382
181990,littlesis/Donation/Grant::3700 usd (Campaign Contribution),28344
6223160,wikidata/Education::,21865
2475114,wikidata/Master of Science (national security strategy),29223
